author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor
Sandra Hoang,Disasters-Learning-Portal/veda-disasters,95,1720702650,1747062871,305,False
Alice Rühl,Disasters-Learning-Portal/veda-disasters,6,1738065931,1741253221,36,False
Brianna Corremonte,Disasters-Learning-Portal/veda-disasters,2,1758719882,1758835350,1,False
Vitor George,Disasters-Learning-Portal/veda-disasters,15,1732019514,1759915145,322,False
Hanbyul Jo,Disasters-Learning-Portal/veda-disasters,30,1715273089,1743152134,322,False
Gjore Milevski,Disasters-Learning-Portal/veda-disasters,58,1729592762,1743158999,157,False
Emmanuel Mathot,EOPF-Explorer/landing-page,39,1758807189,1771407260,145,True
Jonas Sølvsteen,EOPF-Explorer/landing-page,11,1752572293,1769448205,195,True
Emmanuel Mathot,EOPF-Explorer/narratives,16,1759347919,1769535847,117,True
Jonas Sølvsteen,EOPF-Explorer/narratives,1,1768847965,1768847965,0,True
Emmanuel Mathot,EOPF-Explorer/titiler-eopf,81,1754906126,1770277114,177,True
Vincent Sarago,EOPF-Explorer/titiler-eopf,63,1753801074,1765802864,138,True
Ciaran Sweet,EOPF-Explorer/titiler-eopf,4,1758209812,1764856772,76,True
Emma Paz,MAAP-Project/maap-documentation,22,1683748806,1695348153,134,False
Alex I. Mandel,MAAP-Project/maap-documentation,56,1604012166,1747754795,1663,False
Henry Rodman,MAAP-Project/maap-documentation,6,1726856282,1769804967,497,True
Zac Deziel,MAAP-Project/maap-documentation,5,1733945016,1734714130,8,False
Jamison French,MAAP-Project/maap-documentation,17,1690235299,1706792232,191,False
Aimee Barciauskas,MAAP-Project/maap-documentation,83,1620339153,1681162111,703,False
Henry Rodman,MAAP-Project/maap-eoapi,36,1725547779,1770824513,524,True
Jamison French,MAAP-Project/maap-eoapi,32,1692618197,1771350728,911,True
Soumya Ranjan Mohanty,wri/project-zeno-deploy,8,1737648197,1757993920,235,False
Daniel Wiesmann,wri/project-zeno-deploy,120,1732809231,1771057417,442,True
Sajjad Anwar,wri/project-zeno-deploy,1,1752146774,1752146774,0,False
Tarashish Mishra,wri/project-zeno-deploy,83,1730898390,1769605338,447,True
Leo Thomas,wri/project-zeno-deploy,30,1736262486,1755188593,219,False
Sanjay Bhangar,wri/project-zeno-deploy,278,1744033221,1768392686,281,True
Soumya Ranjan Mohanty,wri/project-zeno-next,3,1757523414,1757575788,0,False
Wille Marcel,wri/project-zeno-next,2,1756245650,1756255296,0,False
Marc Farra,wri/project-zeno-next,239,1746873865,1770306542,271,True
Sajjad Anwar,wri/project-zeno-next,2,1754989393,1754990486,0,False
Vitor George,wri/project-zeno-next,98,1753186381,1757585569,50,False
Daniel da Silva,wri/project-zeno-next,61,1752051054,1757948910,68,False
Will Rynearson,wri/project-zeno-next,55,1753196477,1757683566,51,False
Lane Goodman,wri/project-zeno-next,280,1757951299,1768583612,123,True
Tarashish Mishra,wri/project-zeno-next,3,1754284778,1758280250,46,False
Sanjay Bhangar,wri/project-zeno-next,2,1755774325,1755774325,0,False
Max Jones,pydata/xarray,3,1701152983,1761608544,699,False
Chris Holden,pydata/xarray,1,1508878389,1508878389,0,False
Davis Bennett,pydata/xarray,2,1734538780,1748573517,0,False
Julia Signell,pydata/xarray,19,1470952465,1757957411,0,False
Benoit Bovy,pydata/xarray,58,1496426111,1752002419,2958,False
Emmanuel Mathot,pydata/xarray,1,1757486049,1757486049,0,False
Wei Ji,pydata/xarray,2,1600753230,1669911502,800,False
Jonas,pydata/xarray,2,1482167517,1517536906,409,False
Chuck Daniels,pydata/xarray,1,1739927499,1739927499,0,False
Matthias Mohr,radiantearth/stac-spec,865,1530625520,1726047304,0,False
Chris Holmes,radiantearth/stac-spec,931,1494615567,1647355248,0,False
Alexandra Kirk,radiantearth/stac-spec,25,1566429571,1580258495,160,False
Kyle Barron,radiantearth/stac-spec,2,1611703082,1615916421,48,False
Matthew Hanson,radiantearth/stac-spec,483,1521747090,1695841172,0,False
Emmanuel Mathot,radiantearth/stac-spec,98,1599634937,1725957782,1462,False
Pete Gadomski,radiantearth/stac-spec,6,1627935309,1723392273,1104,False
Matthias Mohr,radiantearth/stac-api-spec,674,1530625520,1676627397,0,False
Chris Holmes,radiantearth/stac-api-spec,643,1494615567,1623187625,0,False
Alexandra Kirk,radiantearth/stac-api-spec,25,1566429571,1580258495,160,False
David Bitner,radiantearth/stac-api-spec,2,1642108777,1642109157,0,False
Kyle Barron,radiantearth/stac-api-spec,1,1661873756,1661873756,0,False
Matthew Hanson,radiantearth/stac-api-spec,448,1521747090,1607558403,0,False
xıʃǝɟ,EOEPCA/data-access,9,1731672328,1747392033,181,False
Jonas Sølvsteen,EOEPCA/data-access,25,1718369731,1754295762,415,False
xıʃǝɟ,EOEPCA/demo,1,1769180488,1769180488,0,True
Jonas Sølvsteen,EOEPCA/demo,15,1728120966,1769603457,480,True
Jonas Sølvsteen,EOEPCA/resource-discovery,28,1719300578,1768401906,568,True
xıʃǝɟ,EOEPCA/eoepca-plus,133,1730459729,1771344344,473,True
Emmanuel Mathot,EOEPCA/eoepca-plus,3,1748355200,1748359525,0,False
Jonas Sølvsteen,EOEPCA/eoepca-plus,18,1727077341,1752268219,291,False
Isayah Vidito,EOEPCA/eoepca-plus,13,1727209016,1733498946,72,False
Sajjad Anwar,osm-seed/osm-seed,53,1530022102,1645176311,1332,False
Olaf Veerman,osm-seed/osm-seed,2,1529608142,1539094662,109,False
Sanjay Bhangar,osm-seed/osm-seed,130,1525431369,1708093916,2114,False
Jonas Sølvsteen,ecmwf/qubed,4,1762531179,1762762832,2,False
Jennifer Tran,NASA-IMPACT/veda-data-airflow,105,1711566495,1768243389,655,True
Sandra Hoang,NASA-IMPACT/veda-data-airflow,8,1750882224,1761764530,125,False
Alexandra Kirk,NASA-IMPACT/veda-data-airflow,67,1710956091,1764097285,615,True
Saadiq Mohiuddin,NASA-IMPACT/veda-data-airflow,144,1678389224,1763652245,986,True
Ali Z,NASA-IMPACT/veda-data-airflow,7,1754682851,1756841837,24,False
Jamison French,NASA-IMPACT/veda-data-airflow,3,1697570219,1721158915,273,False
Isayah Vidito,NASA-IMPACT/veda-data-airflow,121,1677267607,1768420576,1055,True
Pete Gadomski,NASA-IMPACT/veda-data-airflow,1,1696881846,1696881846,0,False
Jennifer Tran,NASA-IMPACT/veda-config,2,1739914590,1739917036,0,False
Sandra Hoang,NASA-IMPACT/veda-config,22,1701102139,1736363031,408,False
Alexandra Kirk,NASA-IMPACT/veda-config,18,1655481260,1731518516,880,False
Max Jones,NASA-IMPACT/veda-config,3,1723065443,1723415474,4,False
Alice Rühl,NASA-IMPACT/veda-config,6,1731405354,1737656711,72,False
Saadiq Mohiuddin,NASA-IMPACT/veda-config,9,1670610703,1687372486,194,False
Vitor George,NASA-IMPACT/veda-config,5,1730724276,1764758210,393,True
Daniel da Silva,NASA-IMPACT/veda-config,265,1639050973,1718998282,925,False
Hanbyul Jo,NASA-IMPACT/veda-config,231,1649869041,1753103215,1194,False
Kiri Carini,NASA-IMPACT/veda-config,22,1667585681,1674667475,81,False
Anthony Boyd,NASA-IMPACT/veda-config,41,1654539082,1738616277,973,False
Henry Rodman,NASA-IMPACT/veda-config,2,1744768159,1752860728,93,False
Gjore Milevski,NASA-IMPACT/veda-config,122,1714731653,1769502703,633,True
Ricardo Duplos,NASA-IMPACT/veda-config,1,1677761269,1677761269,0,False
Leo Thomas,NASA-IMPACT/veda-config,2,1638830301,1649866256,127,False
Jonas Sølvsteen,NASA-IMPACT/veda-config,27,1668779435,1730884909,718,False
Isayah Vidito,NASA-IMPACT/veda-config,19,1667392171,1681918699,168,False
Aimee Barciauskas,NASA-IMPACT/veda-config,61,1649888092,1748536172,1141,False
Jennifer Tran,NASA-IMPACT/veda-backend,166,1705627385,1770834945,754,True
Sandra Hoang,NASA-IMPACT/veda-backend,7,1722268308,1723651369,16,False
Alexandra Kirk,NASA-IMPACT/veda-backend,505,1640125392,1758649397,1371,False
Saadiq Mohiuddin,NASA-IMPACT/veda-backend,126,1673752390,1760124872,999,False
Leo Thomas,NASA-IMPACT/veda-backend,45,1638830428,1647845092,104,False
Anthony Lukach,NASA-IMPACT/veda-backend,75,1654214919,1761073955,1236,False
Jamison French,NASA-IMPACT/veda-backend,1,1692912400,1692912400,0,False
Isayah Vidito,NASA-IMPACT/veda-backend,74,1667324462,1767891745,1163,True
Pete Gadomski,NASA-IMPACT/veda-backend,1,1696947223,1696947223,0,False
Vincent Sarago,NASA-IMPACT/veda-backend,21,1678443191,1736182862,668,False
Ciaran Sweet,NASA-IMPACT/veda-backend,5,1722521511,1723132154,7,False
Aimee Barciauskas,NASA-IMPACT/veda-backend,20,1654636843,1744765182,1043,False
Chris Holden,NASA-IMPACT/csda-client,2,1735940802,1767977889,370,True
Emma Paz,NASA-IMPACT/csda-client,1,1755729576,1755729576,0,False
Anthony Lukach,NASA-IMPACT/csda-client,28,1595868006,1646770752,589,False
Pete Gadomski,NASA-IMPACT/csda-client,17,1748012046,1770215906,256,True
Max Jones,NASA-IMPACT/veda-odd,21,1737481888,1771264470,391,True
Aimee Barciauskas,NASA-IMPACT/veda-odd,15,1737487348,1765989475,329,True
Jennifer Tran,NASA-IMPACT/veda-deploy,8,1717441419,1742578915,290,False
Alexandra Kirk,NASA-IMPACT/veda-deploy,54,1702494856,1754673670,603,False
Saadiq Mohiuddin,NASA-IMPACT/veda-deploy,43,1700178391,1765556812,756,True
Henry Rodman,NASA-IMPACT/veda-deploy,1,1740761289,1740761289,0,False
Isayah Vidito,NASA-IMPACT/veda-deploy,20,1715707452,1756337243,470,False
Ciaran Sweet,NASA-IMPACT/veda-deploy,10,1723047258,1725986722,34,False
Aimee Barciauskas,NASA-IMPACT/veda-deploy,6,1747793094,1748104064,3,False
Jennifer Tran,NASA-IMPACT/veda-keycloak,14,1760720025,1768883124,94,True
Sandra Hoang,NASA-IMPACT/veda-keycloak,3,1765395563,1765831090,5,True
Alexandra Kirk,NASA-IMPACT/veda-keycloak,3,1756923590,1771367111,167,True
Saadiq Mohiuddin,NASA-IMPACT/veda-keycloak,31,1741202170,1771274615,348,True
Ali Z,NASA-IMPACT/veda-keycloak,1,1770233947,1770233947,0,True
Alex I. Mandel,NASA-IMPACT/veda-keycloak,1,1743788679,1743788679,0,False
Anthony Lukach,NASA-IMPACT/veda-keycloak,118,1728421652,1760637576,372,False
Isayah Vidito,NASA-IMPACT/veda-keycloak,2,1747936256,1764621466,193,True
Sandra Hoang,NASA-IMPACT/veda-ui,399,1697655169,1758733115,706,False
Alice Rühl,NASA-IMPACT/veda-ui,212,1729501975,1763737676,396,True
Vitor George,NASA-IMPACT/veda-ui,270,1730809900,1768929868,441,True
Daniel da Silva,NASA-IMPACT/veda-ui,1015,1639049693,1702382149,733,False
Hanbyul Jo,NASA-IMPACT/veda-ui,1107,1643213876,1758573133,1335,False
Anthony Boyd,NASA-IMPACT/veda-ui,9,1715358533,1743009763,320,False
Henry Rodman,NASA-IMPACT/veda-ui,1,1742865617,1742865617,0,False
Gjore Milevski,NASA-IMPACT/veda-ui,417,1714993969,1770980065,647,True
Ricardo Duplos,NASA-IMPACT/veda-ui,253,1642679077,1692724120,579,False
Leo Thomas,NASA-IMPACT/veda-ui,2,1638830137,1638830386,0,False
Jonas Sølvsteen,NASA-IMPACT/veda-ui,51,1693426260,1730364019,427,False
Aimee Barciauskas,NASA-IMPACT/veda-ui,83,1656297223,1761091836,1212,False
Max Jones,zarr-developers/zarr-python,30,1707319296,1767895626,701,True
Davis Bennett,zarr-developers/zarr-python,116,1606170143,1759263762,0,False
Julia Signell,zarr-developers/zarr-python,1,1751903076,1751903076,0,False
Kyle Barron,zarr-developers/zarr-python,2,1742833832,1745236023,27,False
Max Jones,zarr-developers/VirtualiZarr,98,1718044084,1769295513,593,True
Julia Signell,zarr-developers/VirtualiZarr,8,1715356253,1739305075,0,False
Sean Harkins,zarr-developers/VirtualiZarr,10,1731977996,1756912873,288,False
Chuck Daniels,zarr-developers/VirtualiZarr,13,1737669610,1744231225,75,False
Aimee Barciauskas,zarr-developers/VirtualiZarr,10,1711745143,1741381979,343,False
Max Jones,GenericMappingTools/pygmt,111,1642159110,1769659223,1475,True
Wei Ji,GenericMappingTools/pygmt,286,1547649272,1770164276,2575,True
xıʃǝɟ,sentinel-hub/titiler-openeo,12,1738846309,1769705261,357,True
Zac Deziel,sentinel-hub/titiler-openeo,9,1764028126,1770475153,74,True
Emmanuel Mathot,sentinel-hub/titiler-openeo,247,1730291637,1770155649,461,True
Vincent Sarago,sentinel-hub/titiler-openeo,97,1733137677,1770995646,438,True
Wille Marcel,hotosm/tasking-manager,761,1538400461,1669990064,1523,False
Sajjad Anwar,hotosm/tasking-manager,4,1543568698,1601327149,668,False
xıʃǝɟ,hotosm/tasking-manager,159,1553592853,1589884189,420,False
Chris Holden,hotosm/openaerialmap,10,1751406033,1751575667,1,False
Indraneel Purohit,hotosm/openaerialmap,34,1747352603,1751478338,47,False
Emma Paz,hotosm/openaerialmap,3,1747751751,1747778442,0,False
Ricardo Duplos,hotosm/openaerialmap,1,1432735245,1432735245,0,False
Pete Gadomski,hotosm/openaerialmap,10,1747918796,1754926338,81,False
Julia Signell,stac-utils/pystac-client,19,1681915703,1758545218,0,False
Matthew Hanson,stac-utils/pystac-client,339,1617420548,1650341067,0,False
Henry Rodman,stac-utils/pystac-client,1,1728998645,1728998645,0,False
Wei Ji,stac-utils/pystac-client,1,1663414900,1663414900,0,False
Chuck Daniels,stac-utils/pystac-client,2,1695241897,1695762480,6,False
Pete Gadomski,stac-utils/pystac-client,164,1618344622,1753978301,1569,False
Matthias Mohr,stac-utils/pystac,5,1654625637,1690920119,0,False
Julia Signell,stac-utils/pystac,96,1673540508,1758207932,0,False
Kyle Barron,stac-utils/pystac,7,1610151341,1613761072,41,False
Matthew Hanson,stac-utils/pystac,29,1615498658,1617036064,0,False
Alex I. Mandel,stac-utils/pystac,1,1686229285,1686229285,0,False
Tarashish Mishra,stac-utils/pystac,1,1651275347,1651275347,0,False
Emmanuel Mathot,stac-utils/pystac,19,1606728206,1623073161,189,False
Chuck Daniels,stac-utils/pystac,3,1695762411,1695991821,2,False
Pete Gadomski,stac-utils/pystac,213,1615497591,1769529885,1782,True
Vincent Sarago,stac-utils/pystac,2,1628972729,1689184958,696,False
David Bitner,stac-utils/pgstac,112,1617043026,1770744836,1778,True
