author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor,tier
Vitor George,developmentseed/lonboard,15,1697555970,1765456518,785,True,core
mattmatt.world ,developmentseed/lonboard,2,1709240856,1711642789,27,False,community
Chris Holden,developmentseed/lonboard,1,1738778383,1738778383,0,False,community
Joris Van den Bossche,developmentseed/lonboard,1,1706575221,1706575221,0,False,community
Qiusheng Wu,developmentseed/lonboard,1,1710856152,1710856152,0,False,community
Daniel Sparing,developmentseed/lonboard,7,1741967400,1750258024,95,False,community
Emma Paz,developmentseed/lonboard,4,1704982856,1708978921,46,False,core
Matt Fisher,developmentseed/lonboard,1,1769098590,1769098590,0,True,community
Aimee Barciauskas,developmentseed/lonboard,5,1695751913,1700690513,57,False,core
shriv,developmentseed/lonboard,1,1714674092,1714674092,0,False,community
ATL2001,developmentseed/lonboard,8,1727976436,1770830724,495,True,community
Kyle Barron,developmentseed/lonboard,421,1693518811,1770849248,895,True,core
Kamil Raczycki,developmentseed/lonboard,1,1715698968,1715698968,0,False,community
Marc Skov Madsen,developmentseed/lonboard,1,1717626121,1717626121,0,False,community
Jacob Wasserman,developmentseed/lonboard,1,1709918283,1709918283,0,False,community
Chris Gervang,developmentseed/lonboard,1,1698342818,1698342818,0,False,community
Wille Marcel,developmentseed/lonboard,2,1714083457,1730901566,194,False,community
Vincent Sarago,developmentseed/lonboard,1,1697573619,1697573619,0,False,core
Jt Miclat,developmentseed/lonboard,1,1701709908,1701709908,0,False,community
shawnboltz,developmentseed/lonboard,1,1769702767,1769702767,0,True,community
eli knaap,developmentseed/lonboard,1,1737001459,1737001459,0,False,community
Bjørn Lie Rapp,developmentseed/lonboard,1,1740504542,1740504542,0,False,community
jwardbond,developmentseed/lonboard,1,1770829174,1770829174,0,True,community
Jeremy T. Hetzel,developmentseed/titiler,2,1676274124,1692618382,189,False,community
Emmanuel Mathot,developmentseed/titiler,7,1610679501,1678367960,783,False,community
José L. Patiño Andrés,developmentseed/titiler,1,1744206409,1744206409,0,False,community
Dr. Andrew Annex,developmentseed/titiler,2,1676363378,1734682465,674,False,community
mindless-bureaucrat,developmentseed/titiler,1,1674728227,1674728227,0,False,community
Emmanuel Ferdman,developmentseed/titiler,1,1730826216,1730826216,0,False,community
Taylor Denouden,developmentseed/titiler,4,1692864222,1738363158,526,False,community
Jeff Albrecht,developmentseed/titiler,4,1595980986,1608449143,144,False,community
Jay Cary,developmentseed/titiler,1,1722430548,1722430548,0,False,community
Sam Neubardt,developmentseed/titiler,4,1652176954,1696365002,511,False,community
Ciaran Sweet,developmentseed/titiler,2,1731576828,1770916173,455,True,core
guillemc23,developmentseed/titiler,2,1722429918,1760617065,441,False,community
Mack Delany,developmentseed/titiler,1,1628240162,1628240162,0,False,community
Oliver Roick,developmentseed/titiler,1,1653987124,1653987124,0,False,community
Abhemanyu Sarin,developmentseed/titiler,1,1688655635,1688655635,0,False,community
lorenzori,developmentseed/titiler,1,1623405861,1623405861,0,False,community
Qiusheng Wu,developmentseed/titiler,1,1641202020,1641202020,0,False,community
Simon Ouellet,developmentseed/titiler,1,1697752553,1697752553,0,False,community
F Skold,developmentseed/titiler,1,1659442009,1659442009,0,False,community
Jin Igarashi,developmentseed/titiler,3,1709731506,1711386394,19,False,community
catplanck,developmentseed/titiler,1,1661424941,1661424941,0,False,community
Darell,developmentseed/titiler,1,1689188695,1689188695,0,False,community
Neil Halelamien,developmentseed/titiler,1,1676274161,1676274161,0,False,community
Dan Schoppe,developmentseed/titiler,1,1697752147,1697752147,0,False,community
Skaidus,developmentseed/titiler,1,1750066332,1750066332,0,False,community
Pete Gadomski,developmentseed/titiler,1,1709715032,1709715032,0,False,core
David Bitner,developmentseed/titiler,1,1594682332,1594682332,0,False,community
Enrico Ubaldi,developmentseed/titiler,1,1692618449,1692618449,0,False,community
Tyler Erickson,developmentseed/titiler,1,1715066051,1715066051,0,False,community
Max Jones,developmentseed/titiler,5,1730214364,1761817321,365,False,core
nate giraldi,developmentseed/titiler,1,1715065871,1715065871,0,False,community
Pablo Padua,developmentseed/titiler,2,1731359811,1754493040,267,False,community
Robin Wilson,developmentseed/titiler,1,1634281194,1634281194,0,False,community
Pratap Vardhan,developmentseed/titiler,7,1734630739,1734711253,0,False,community
KotaYuhara,developmentseed/titiler,1,1731914474,1731914474,0,False,community
Tom Christian,developmentseed/titiler,1,1770645288,1770645288,0,True,community
Stefanos Mousafeiris,developmentseed/titiler,1,1645703322,1645703322,0,False,community
Iman Shafiei,developmentseed/titiler,1,1711008763,1711008763,0,False,community
DeflateAwning,developmentseed/titiler,2,1701114769,1702367938,14,False,community
Dimple Jain,developmentseed/titiler,2,1744206985,1770645484,306,True,community
Henry Rodman,developmentseed/titiler,10,1727097138,1761238622,395,False,core
Matt Fisher,developmentseed/titiler,2,1770399695,1770399755,0,True,community
Aimee Barciauskas,developmentseed/titiler,10,1618696757,1763539400,1676,True,core
Sean Harkins,developmentseed/titiler,1,1646333885,1646333885,0,False,core
Jonathan Chemla,developmentseed/titiler,1,1744009349,1744009349,0,False,community
Christian Gass,developmentseed/titiler,1,1709717418,1709717418,0,False,community
Andrew Harvey,developmentseed/titiler,2,1738217118,1738217278,0,False,community
Maik Fischer,developmentseed/titiler,2,1655458463,1665394854,115,False,community
Will Roper,developmentseed/titiler,1,1706825138,1706825138,0,False,community
Anand Mahesh,developmentseed/titiler,1,1767599418,1767599418,0,True,community
Grant,developmentseed/titiler,2,1704899072,1715067564,117,False,community
Jason Giancono,developmentseed/titiler,2,1657220405,1704725033,549,False,community
Anthony Goddard,developmentseed/titiler,1,1764052884,1764052884,0,True,community
Kyle Barron,developmentseed/titiler,20,1598965080,1713476135,1325,False,core
sudobangbang,developmentseed/titiler,1,1687438437,1687438437,0,False,core
Kiri,developmentseed/titiler,2,1732290788,1732291109,0,False,core
Trenton Lipscomb,developmentseed/titiler,1,1633331045,1633331045,0,False,community
Ofir Makmal,developmentseed/titiler,3,1687260361,1687262904,0,False,community
Jonas,developmentseed/titiler,1,1744103621,1744103621,0,False,community
Leonid,developmentseed/titiler,1,1708005738,1708005738,0,False,community
RichardScottOZ,developmentseed/titiler,7,1611703896,1620667616,103,False,community
Denis Rykov,developmentseed/titiler,5,1612294702,1620869798,99,False,community
Wille Marcel,developmentseed/titiler,2,1640100830,1754493008,1323,False,community
David Brochart,developmentseed/titiler,1,1750353605,1750353605,0,False,community
Vincent Sarago,developmentseed/titiler,715,1575568964,1770973276,2261,True,core
Oleksii Vykaliuk,developmentseed/titiler,1,1734686959,1734686959,0,False,community
jon,developmentseed/titiler,1,1682631018,1682631018,0,False,community
Andrea Giardini,developmentseed/titiler,1,1620819701,1620819701,0,False,community
Scott Henderson,developmentseed/titiler,1,1734630327,1734630327,0,False,community
Sam Murphy,developmentseed/titiler,1,1678986480,1678986480,0,False,community
Dan Hirst,developmentseed/titiler,4,1679953272,1684419315,51,False,community
holgerbach,developmentseed/titiler,1,1687503954,1687503954,0,False,community
Frederico Liporace,developmentseed/titiler,4,1600915646,1612400136,132,False,community
Ciaran Sweet,NASA-IMPACT/veda-backend,5,1722521511,1723132154,7,False,core
Prakash Chaudhary,NASA-IMPACT/veda-backend,3,1668634223,1669228927,6,False,community
Isayah Vidito,NASA-IMPACT/veda-backend,74,1667324462,1767891745,1163,True,core
Jennifer Tran,NASA-IMPACT/veda-backend,166,1705627385,1770834945,754,True,core
Jamison French,NASA-IMPACT/veda-backend,1,1692912400,1692912400,0,False,community
Anish Bhusal,NASA-IMPACT/veda-backend,1,1716927610,1716927610,0,False,community
Pete Gadomski,NASA-IMPACT/veda-backend,1,1696947223,1696947223,0,False,core
Anthony Lukach,NASA-IMPACT/veda-backend,75,1654214919,1761073955,1236,False,core
Julia Signell,NASA-IMPACT/veda-backend,1,1681994549,1681994549,0,False,community
sandrahoang686,NASA-IMPACT/veda-backend,7,1722268308,1723651369,16,False,core
Leo Thomas,NASA-IMPACT/veda-backend,45,1638830428,1647845092,104,False,core
Aimee Barciauskas,NASA-IMPACT/veda-backend,20,1654636843,1744765182,1043,False,core
Saadiq Mohiuddin,NASA-IMPACT/veda-backend,126,1673752390,1760124872,999,False,core
sudobangbang,NASA-IMPACT/veda-backend,3,1689112474,1692816842,42,False,core
Nathan Zimmerman,NASA-IMPACT/veda-backend,33,1667233417,1708639851,479,False,core
Stephen Kilbourn,NASA-IMPACT/veda-backend,18,1709938852,1757963623,555,False,core
Alex Bush,NASA-IMPACT/veda-backend,8,1654692266,1655297394,7,False,core
Slesa Adhikari,NASA-IMPACT/veda-backend,82,1704752892,1722958865,210,False,core
Vincent Sarago,NASA-IMPACT/veda-backend,21,1678443191,1736182862,668,False,core
Alexandra Kirk,NASA-IMPACT/veda-backend,505,1640125392,1758649397,1371,False,core
